Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q27,Q28,Q29,Q30,Q31
138,Femenino,42,licenciatura en administracion,jardines del sur,8,mayor vigilancia y alumbrado publico,10,Iluminación:Baches:Áreas Verdes:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,10,Si,mejoraria la vialidad y seria mas rapido,seguridad,2,ok
139,Femenino,31,abogado,himno nacional,4,mas vigilancia,10,Iluminación:Otros:,8,No,es muy inseguro,"no hubiera delincuencia, vigilancia, mas policias",3,ok
140,Masculino,22,esrudiante,santos degollado,8,iluminacion,5,Iluminación:Baches:Banquetas:,10,Si,la cercanu,seguridad,5,ok
141,Masculino,50,Ingeniero,Popular,9,Seguridad,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,10,No,Inseguridad,Seguridad,4,ok
142,Femenino,38,economia,tequis,3,"transito, concia vial bacheo, regkamento de vialidad",10,Iluminación:Baches:Banquetas:Otros:,9,No,inseguridad,seguridad,2,ok
143,Masculino,38,maestro,himno nacional,9,inseguridad mas vigiñancia,9,Baches:Banquetas:,10,No,por rateros y pprque mi hijo esta muy chiquito,ya hasta ños 12 lo xejaria y ocuparia mas vigilancoa,2,ok
144,Masculino,35,abogado,jardin,7,camaras de vigilancia,10,Baches:,8,No,son muy pequeños,mas seguridad,2,ok
146,Femenino,36,Enfermeria,Villas Vizenso,2,iluminación y patruyas ,10,Iluminación:Baches:,7,No,Por edad y por inseguridad,transporte escolar,3,ok
147,Femenino,36,diseñadora industrial,tangamanga,7,transito monitoreando la zona,10,Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,10,No,tiempo e inseguridad,no hay,2,ok
149,Femenino,41,inf sistemas,reyitos,8,mas vigilancoa de la policia,8,Iluminación:Banquetas:Áreas Verdes:,8,No,no,no,4,ok
150,Femenino,70,ama de casa,valle dorado,8,no se,5,Otros:,10,No,inseguridad,ir por ellos,1,ok
152,Femenino,32,ama de casa,lomas cuarta,8,vigilancia,0,Otros:,8,No,inseguridad,llevarlo yo misma,3,ok
153,Masculino,33,maestrp de i gles,colonia mision de san pedro en soledad,9,cambiaria supervision en trasnporte publico alguna autotidad y tanvien una sugerencia de proteger a los  hoferes de transporte,10,Iluminación:Baches:Pasos de cebra:Rejas de alcantarillado:,8,No,porque yo creo que esta xona eata protegida pero.mw sorpende ver la cantidad de secuertros y uno como.papa se asusta y porque  las calle si me gauatria mas presencia policia previniendo con presencia y me gustaroa qque hibiera mas en los colegioa ,en el.futuro.primero un carro y rl tienpo para yo.llevarla ,6,ok
157,Femenino,37,Abodaga,Pozos,3,Vigilancia,5,Baches:Rejas de alcantarillado:,10,No,Inseguridad,Seguridad,2,ok
158,Masculino,70,mecánico automotriz,balcones del valle,7,gobierno,8,Baches:,9,No,insegurodad,srgurixad,6,ok
159,Masculino,38,arquitecto,tequis,4,alumbrar y vigilancia,10,Iluminación:Baches:Banquetas:Otros:,10,No,inseguridad,"segiridad, policias, cultura vial",7,ok
161,Masculino,49,abogado,balcones del valle,5,que hubiera vigilancia,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,10,No,por la inseguridad,vigilancia,2,ok
162,Femenino,40,contador publico,fraccionamiento del llano,7,seguridad ,5,Iluminación:Baches:,10,No,insegurida,seguridad,4,ok
164,Femenino,49,polanco,polanco,0,el gobierno,10,Iluminación:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,10,No,inseguridad,4,4,ok
166,Femenino,38,Abogada,Sanpatricio,6,Cultura,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,10,No,Inseguridad,Aprender,4,ok
167,Femenino,40,ama de casa,rinconada,1,iluminacion,10,Iluminación:Baches:Banquetas:,10,No,inseguridad,5,5,ok
169,Femenino,45,arquitecto,santiago,5,vigilancia,10,Iluminación:Banquetas:Otros:,9,No,inseguridad,vigilancia,6,ok
170,Masculino,18,Estudiante y comerciante,Opestre,7,"Iluminacion,mayor vigilancia",8,Iluminación:Baches:Banquetas:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Otros:,6,No,Ahorita la inseguridad esta muy fuerte para ellos,Que la secretaria designe mayor vigilancia en las zonas escolares,6,ok
